Epoch[1/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[181/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[182/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[183/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[184/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[185/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[186/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[187/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[188/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[189/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[190/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[191/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[192/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[193/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[194/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[195/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[196/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[197/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[198/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[199/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[200/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
